city_community,cases,case_rate1,deaths,death_rate2,valid_thru,new_cases,seven_day_avg
City of Burbank,22341,20844,322,300,2022-04-12,14,22.6
City of Burbank,22327,20831,322,300,2022-04-11,10,24.9
City of Burbank,22317,20822,322,300,2022-04-10,34,25.7
City of Burbank,22283,20790,321,299,2022-04-07,62,22.1
City of Burbank,22221,20732,320,299,2022-04-06,9,14.7
City of Burbank,22212,20724,320,299,2022-04-05,12,13.7
City of Burbank,22200,20713,320,299,2022-04-04,17,14.4
City of Burbank,22183,20697,320,299,2022-04-03,30,13.6
City of Burbank,22153,20669,320,299,2022-03-31,16,11.1
City of Burbank,22137,20654,319,298,2022-03-30,9,11.6
City of Burbank,22128,20646,317,296,2022-03-29,10,11.9
City of Burbank,22118,20636,316,295,2022-03-28,2,11.3
City of Burbank,22116,20634,316,295,2022-03-27,17,12.7
City of Burbank,22099,20619,314,293,2022-03-25,11,12
City of Burbank,22088,20608,314,293,2022-03-24,13,16.3
City of Burbank,22075,20596,315,294,2022-03-23,19,16
City of Burbank,22056,20578,315,294,2022-03-22,11,14.4
City of Burbank,22045,20568,315,294,2022-03-21,6,14
City of Burbank,22039,20563,315,294,2022-03-20,12,14.4
City of Burbank,22027,20551,314,293,2022-03-18,12,14.9
City of Burbank,22015,20540,313,292,2022-03-17,41,15.6
City of Burbank,21974,20502,313,292,2022-03-16,11,11
City of Burbank,21963,20492,313,292,2022-03-15,8,10.7
City of Burbank,21955,20484,313,292,2022-03-14,8,10.9
City of Burbank,21947,20477,313,292,2022-03-13,9,12.6
City of Burbank,21938,20468,313,292,2022-03-11,15,12.9
City of Burbank,21923,20454,312,291,2022-03-10,17,13.6
City of Burbank,21906,20439,312,291,2022-03-09,9,13
City of Burbank,21897,20430,312,291,2022-03-08,9,13.3
City of Burbank,21888,20422,312,291,2022-03-07,9,12.9
City of Burbank,21879,20413,311,290,2022-03-06,20,13.6
City of Burbank,21859,20395,311,290,2022-03-04,11,13.9
City of Burbank,21848,20384,311,290,2022-03-03,20,15
City of Burbank,21828,20366,311,290,2022-03-02,13,13.9
City of Burbank,21815,20354,311,290,2022-03-01,11,13.9
City of Burbank,21804,20343,311,290,2022-02-28,6,14
City of Burbank,21798,20338,309,288,2022-02-26,14,15.1
City of Burbank,21784,20325,309,288,2022-02-25,22,15.6
City of Burbank,21762,20304,306,286,2022-02-24,19,15.6
City of Burbank,21743,20286,305,285,2022-02-23,12,16.6
City of Burbank,21731,20275,303,283,2022-02-22,13,21.6
City of Burbank,21718,20263,303,283,2022-02-21,12,23.7
City of Burbank,21706,20252,303,283,2022-02-20,14,23.3
City of Burbank,21692,20239,304,284,2022-02-19,17,23.7
City of Burbank,21675,20223,304,284,2022-02-18,22,25.6
City of Burbank,21653,20202,303,283,2022-02-17,26,25
City of Burbank,21627,20178,303,283,2022-02-16,47,26.3
City of Burbank,21580,20134,300,280,2022-02-15,28,26.7
City of Burbank,21552,20108,300,280,2022-02-14,9,29
City of Burbank,21543,20100,300,280,2022-02-13,17,32.9
City of Burbank,21526,20084,300,280,2022-02-12,30,36.3
