city_community,cases,case_rate1,deaths,death_rate2,valid_thru
City of Burbank,22371,20872,322,300,2022-04-14
City of Burbank,22426,20924,322,300,2022-04-14
City of Glendale,44497,21549,868,420,2022-04-14
City of Glendale,44557,21578,869,421,2022-04-14
City of Burbank,22353,20856,322,300,2022-04-13
City of Burbank,22371,20872,322,300,2022-04-13
City of Glendale,44482,21542,868,420,2022-04-13
City of Glendale,44497,21549,868,420,2022-04-13
City of Burbank,22341,20844,322,300,2022-04-12
City of Glendale,44449,21526,868,420,2022-04-12
City of Burbank,22327,20831,322,300,2022-04-11
City of Glendale,44426,21515,868,420,2022-04-11
City of Burbank,22317,20822,322,300,2022-04-10
City of Glendale,44414,21509,868,420,2022-04-10
City of Burbank,22283,20790,321,299,2022-04-07
City of Glendale,44364,21485,864,418,2022-04-07
City of Burbank,22221,20732,320,299,2022-04-06
City of Glendale,44248,21428,864,418,2022-04-06
City of Burbank,22212,20724,320,299,2022-04-05
City of Glendale,44236,21423,863,418,2022-04-05
City of Burbank,22200,20713,320,299,2022-04-04
City of Glendale,44218,21414,862,417,2022-04-04
City of Burbank,22183,20697,320,299,2022-04-03
City of Glendale,44194,21402,862,417,2022-04-03
City of Burbank,22153,20669,320,299,2022-03-31
City of Glendale,44154,21383,860,416,2022-03-31
City of Burbank,22137,20654,319,298,2022-03-30
City of Glendale,44144,21378,860,416,2022-03-30
City of Burbank,22128,20646,317,296,2022-03-29
City of Glendale,44137,21375,860,416,2022-03-29
City of Burbank,22118,20636,316,295,2022-03-28
City of Glendale,44125,21369,860,416,2022-03-28
City of Burbank,22116,20634,316,295,2022-03-27
City of Glendale,44116,21364,860,416,2022-03-27
City of Burbank,22099,20619,314,293,2022-03-25
City of Glendale,44106,21360,858,416,2022-03-25
City of Burbank,22088,20608,314,293,2022-03-24
City of Glendale,44091,21352,859,416,2022-03-24
City of Burbank,22075,20596,315,294,2022-03-23
City of Glendale,44075,21345,858,416,2022-03-23
City of Burbank,22056,20578,315,294,2022-03-22
City of Glendale,44066,21340,858,416,2022-03-22
City of Burbank,22045,20568,315,294,2022-03-21
City of Glendale,44053,21334,857,415,2022-03-21
City of Burbank,22039,20563,315,294,2022-03-20
City of Glendale,44034,21325,857,415,2022-03-20
City of Burbank,22027,20551,314,293,2022-03-18
City of Glendale,44008,21312,855,414,2022-03-18
City of Burbank,22015,20540,313,292,2022-03-17
City of Glendale,43993,21305,854,414,2022-03-17
City of Burbank,21974,20502,313,292,2022-03-16
City of Glendale,43960,21289,852,413,2022-03-16
City of Burbank,21963,20492,313,292,2022-03-15
City of Glendale,43934,21276,851,412,2022-03-15
City of Burbank,21955,20484,313,292,2022-03-14
City of Glendale,43924,21271,850,412,2022-03-14
City of Burbank,21947,20477,313,292,2022-03-13
City of Glendale,43906,21263,849,411,2022-03-13
City of Burbank,21938,20468,313,292,2022-03-11
City of Glendale,43886,21253,848,411,2022-03-11
City of Burbank,21923,20454,312,291,2022-03-10
City of Glendale,43869,21245,849,411,2022-03-10
City of Burbank,21906,20439,312,291,2022-03-09
City of Glendale,43856,21238,848,411,2022-03-09
City of Burbank,21897,20430,312,291,2022-03-08
City of Glendale,43841,21231,848,411,2022-03-08
City of Burbank,21888,20422,312,291,2022-03-07
City of Glendale,43824,21223,849,411,2022-03-07
City of Burbank,21879,20413,311,290,2022-03-06
City of Glendale,43813,21218,845,409,2022-03-06
City of Burbank,21859,20395,311,290,2022-03-04
City of Glendale,43790,21207,843,408,2022-03-04
City of Burbank,21848,20384,311,290,2022-03-03
City of Glendale,43774,21199,841,407,2022-03-03
City of Burbank,21828,20366,311,290,2022-03-02
City of Glendale,43751,21188,840,407,2022-03-02
City of Burbank,21815,20354,311,290,2022-03-01
City of Glendale,43734,21179,839,406,2022-03-01
City of Burbank,21804,20343,311,290,2022-02-28
City of Glendale,43716,21171,839,406,2022-02-28
City of Burbank,21798,20338,309,288,2022-02-26
City of Glendale,43702,21164,839,406,2022-02-26
City of Burbank,21784,20325,309,288,2022-02-25
City of Glendale,43667,21147,836,405,2022-02-25
City of Burbank,21762,20304,306,286,2022-02-24
City of Glendale,43635,21131,836,405,2022-02-24
City of Burbank,21743,20286,305,285,2022-02-23
City of Glendale,43610,21119,834,404,2022-02-23
City of Burbank,21731,20275,303,283,2022-02-22
City of Glendale,43571,21100,833,403,2022-02-22
City of Burbank,21718,20263,303,283,2022-02-21
City of Glendale,43551,21091,832,403,2022-02-21
City of Burbank,21706,20252,303,283,2022-02-20
City of Glendale,43538,21084,831,402,2022-02-20
City of Burbank,21692,20239,304,284,2022-02-19
City of Glendale,43527,21079,831,402,2022-02-19
City of Burbank,21675,20223,304,284,2022-02-18
City of Glendale,43485,21059,829,401,2022-02-18
City of Burbank,21653,20202,303,283,2022-02-17
City of Glendale,43435,21035,826,400,2022-02-17
City of Burbank,21627,20178,303,283,2022-02-16
City of Glendale,43404,21020,821,398,2022-02-16
City of Burbank,21580,20134,300,280,2022-02-15
City of Glendale,43367,21002,822,398,2022-02-15
City of Burbank,21552,20108,300,280,2022-02-14
City of Glendale,43336,20987,820,397,2022-02-14
City of Burbank,21543,20100,300,280,2022-02-13
City of Glendale,43307,20973,817,396,2022-02-13
City of Burbank,21526,20084,300,280,2022-02-12
City of Glendale,43244,20942,816,395,2022-02-12
City of Burbank,21496,20056,299,279,2022-02-11
City of Glendale,43175,20909,813,394,2022-02-11
City of Burbank,21478,20039,298,278,2022-02-10
City of Glendale,43097,20871,806,390,2022-02-10
City of Burbank,21443,20007,297,277,2022-02-09
City of Glendale,43001,20824,800,387,2022-02-09
City of Burbank,21393,19960,297,277,2022-02-08
City of Glendale,42892,20772,799,387,2022-02-08
City of Burbank,21349,19919,297,277,2022-02-07
City of Glendale,42818,20736,796,385,2022-02-07
City of Burbank,21313,19885,294,274,2022-02-06
City of Glendale,42747,20701,795,385,2022-02-06
City of Burbank,21272,19847,294,274,2022-02-05
City of Glendale,42659,20659,795,385,2022-02-05
City of Burbank,21219,19798,294,274,2022-02-04
City of Glendale,42574,20618,794,385,2022-02-04
City of Burbank,21142,19726,292,272,2022-02-03
City of Glendale,42433,20549,790,383,2022-02-03
City of Burbank,21064,19653,292,272,2022-02-02
City of Glendale,42242,20457,788,382,2022-02-02
City of Burbank,20949,19546,289,270,2022-02-01
City of Glendale,42049,20363,784,380,2022-02-01
City of Burbank,20823,19428,289,270,2022-01-31
City of Glendale,41846,20265,781,378,2022-01-31
City of Burbank,20744,19354,289,270,2022-01-30
City of Glendale,41692,20191,778,377,2022-01-30
City of Burbank,20625,19243,289,270,2022-01-29
City of Glendale,41551,20122,777,376,2022-01-29
City of Burbank,20541,19165,287,268,2022-01-28
City of Glendale,41353,20026,777,376,2022-01-28
City of Burbank,20366,19002,285,266,2022-01-27
City of Glendale,41066,19887,773,374,2022-01-27
City of Burbank,20174,18823,284,265,2022-01-26
City of Glendale,40765,19742,772,374,2022-01-26
City of Burbank,19917,18583,283,264,2022-01-25
City of Glendale,40331,19531,766,371,2022-01-25
City of Burbank,19767,18443,280,261,2022-01-24
City of Glendale,40050,19395,760,368,2022-01-24
City of Burbank,19630,18315,279,260,2022-01-23
City of Glendale,39826,19287,759,368,2022-01-23
City of Burbank,19442,18140,279,260,2022-01-22
City of Glendale,39476,19117,758,367,2022-01-22
City of Burbank,19284,17992,278,259,2022-01-21
City of Glendale,39165,18967,757,367,2022-01-21
City of Burbank,19039,17764,278,259,2022-01-20
City of Glendale,38713,18748,755,366,2022-01-20
